Unit,Cluster,Source,Destination,Cdyn reduction
EM,EU,Gen11LP,Gen11LP,1
FPU0,EU,Gen11LP,Gen11LP,1
FPU1,EU,Gen11LP,Gen11LP,1
Assign,EU,Gen11LP,Gen12LP,0.7
Assign,EU,Gen11LP,Gen12DG,0.7
CLKGLUE,EU,Gen11LP,Gen12LP,0.7
CLKGLUE,EU,Gen11LP,Gen12DG,0.7
NONCLKGLUE,EU,Gen11LP,Gen12LP,0.7
NONCLKGLUE,EU,Gen11LP,Gen12DG,0.7
CPunit,EU,Gen11LP,Gen12LP,1
CPunit,EU,Gen11LP,Gen12DG,1
DFX,EU,Gen11LP,Gen12LP,0.7
DFX,EU,Gen11LP,Gen12DG,0.7
DOP,EU,Gen11LP,Gen12LP,0.7
DOP,EU,Gen11LP,Gen12DG,0.7
Repeater,EU,Gen11LP,Gen12LP,1
Repeater,EU,Gen11LP,Gen12DG,1
SMALL,EU,Gen11LP,Gen12LP,0.7
SMALL,EU,Gen11LP,Gen12DG,0.7
EM,EU,Gen11LP,Gen12LP,0.87
EM,EU,Gen11LP,Gen12DG,0.87
FPU1,EU,Gen11LP,Gen12LP,0
FPU1,EU,Gen11LP,Gen12DG,0
FPU0,EU,Gen11LP,Gen12LP,2.1
FPU0,EU,Gen11LP,Gen12DG,2.1
GA,EU,Gen11LP,Gen12LP,0.9
GA,EU,Gen11LP,Gen12DG,0.9
GA,EU,Gen12LP,Gen12LP,1
GA,EU,Gen12LP,Gen12DG,1
TC,EU,Gen12LP,Gen12LP,1
TC,EU,Gen12LP,Gen12DG,1
TC,EU,Gen11LP,Gen12LP,1.06
TC,EU,Gen11LP,Gen12DG,1.06
EM,EU,Gen11,Gen11,1.04
TC,EU,Gen11,Gen11,1
FPU0,EU,Gen11,Gen11,1.04
DP4A,EU,Gen11,Gen11,1
FPU1,EU,Gen11,Gen11,1.04
GA,EU,Gen11,Gen11,1.017
Assign,EU,Gen11,Gen11,1.05
CLKGLUE,EU,Gen11,Gen11,1.05
NONCLKGLUE,EU,Gen11,Gen11,1.05
CPunit,EU,Gen11,Gen11,1.05
DFX,EU,Gen11,Gen11,1.05
DOP,EU,Gen11,Gen11,1.05
Repeater,EU,Gen11,Gen11,1.05
SMALL,EU,Gen11,Gen11,1.05
SC,Sampler,Gen10LP,Gen12HP_384,1.25
SC,Sampler,Gen8,Gen12HP_384,1.25
SC,Sampler,Gen8SoC,Gen12HP_384,1.25
SC,Sampler,Gen9LPClient,Gen12HP_384,1.25
SC,Sampler,Gen9LPSoC,Gen12HP_384,1.25
SC,Sampler,Gen11,Gen12HP_384,1.25
SC,Sampler,Gen11LP,Gen12HP_384,1.25
SC,Sampler,Gen12LP,Gen12HP_384,1.25
SC,Sampler,Gen10LP,Gen12HP_512,1.25
SC,Sampler,Gen8,Gen12HP_512,1.25
SC,Sampler,Gen8SoC,Gen12HP_512,1.25
SC,Sampler,Gen9LPClient,Gen12HP_512,1.25
SC,Sampler,Gen9LPSoC,Gen12HP_512,1.25
SC,Sampler,Gen11,Gen12HP_512,1.25
SC,Sampler,Gen11LP,Gen12HP_512,1.25
SC,Sampler,Gen12LP,Gen12HP_512,1.25
SC,Sampler,Gen10LP,Gen12HP,1.25
SC,Sampler,Gen8,Gen12HP,1.25
SC,Sampler,Gen8SoC,Gen12HP,1.25
SC,Sampler,Gen9LPClient,Gen12HP,1.25
SC,Sampler,Gen9LPSoC,Gen12HP,1.25
SC,Sampler,Gen11,Gen12HP,1.25
SC,Sampler,Gen11LP,Gen12HP,1.25
SC,Sampler,Gen12LP,Gen12HP,1.25
FPU0,EU,Gen10LP,Gen12HP_384,1.15
FPU0,EU,Gen8,Gen12HP_384,1.15
FPU0,EU,Gen8SoC,Gen12HP_384,1.15
FPU0,EU,Gen9LPClient,Gen12HP_384,1.15
FPU0,EU,Gen9LPSoC,Gen12HP_384,1.15
FPU0,EU,Gen11,Gen12HP_384,1.15
FPU0,EU,Gen11LP,Gen12HP_384,1.15
FPU0,EU,Gen12LP,Gen12HP_384,1.15
FPU0,EU,Gen10LP,Gen12HP_512,1.15
FPU0,EU,Gen8,Gen12HP_512,1.15
FPU0,EU,Gen8SoC,Gen12HP_512,1.15
FPU0,EU,Gen9LPClient,Gen12HP_512,1.15
FPU0,EU,Gen9LPSoC,Gen12HP_512,1.15
FPU0,EU,Gen11,Gen12HP_512,1.15
FPU0,EU,Gen11LP,Gen12HP_512,1.15
FPU0,EU,Gen12LP,Gen12HP_512,1.15
FPU0,EU,Gen10LP,Gen12HP,1.15
FPU0,EU,Gen8,Gen12HP,1.15
FPU0,EU,Gen8SoC,Gen12HP,1.15
FPU0,EU,Gen9LPClient,Gen12HP,1.15
FPU0,EU,Gen9LPSoC,Gen12HP,1.15
FPU0,EU,Gen11,Gen12HP,1.15
FPU0,EU,Gen11LP,Gen12HP,1.15
FPU0,EU,Gen12LP,Gen12HP,1.15
FPU0,EU,Gen12HP,Gen12HP,1.15
FL,Sampler,Gen10LP,Gen12HP_384,1.12
FL,Sampler,Gen8,Gen12HP_384,1.12
FL,Sampler,Gen8SoC,Gen12HP_384,1.12
FL,Sampler,Gen9LPClient,Gen12HP_384,1.12
FL,Sampler,Gen9LPSoC,Gen12HP_384,1.12
FL,Sampler,Gen11,Gen12HP_384,1.12
FL,Sampler,Gen11LP,Gen12HP_384,1.12
FL,Sampler,Gen12LP,Gen12HP_384,1.12
FL,Sampler,Gen10LP,Gen12HP_512,1.12
FL,Sampler,Gen8,Gen12HP_512,1.12
FL,Sampler,Gen8SoC,Gen12HP_512,1.12
FL,Sampler,Gen9LPClient,Gen12HP_512,1.12
FL,Sampler,Gen9LPSoC,Gen12HP_512,1.12
FL,Sampler,Gen11,Gen12HP_512,1.12
